title,company_name,city,seniority_level,salary_min,salary_max
Data Analyst/Engineer (f/m/d) - Limited to 24 months,Allianz Global Investors GmbH,München,Middle or undefined,,
EY-Parthenon Praktikant Data Analyst - Strategy and Transactions (w/m/d),EY Deutschland,Berlin,Junior,,
EY-Parthenon Praktikant Data Analyst - Strategy and Transactions (w/m/d),EY Deutschland,München,Junior,,
EY-Parthenon Praktikant Data Analyst - Strategy and Transactions (w/m/d),EY Deutschland,Flughafen,Junior,,
EY-Parthenon Praktikant Data Analyst - Strategy and Transactions (w/m/d),EY Deutschland,Eschborn,Junior,,
"(Senior) Data Analyst (m/w/d) - Business Analysis, Datenbankentwicklung/BI, Ingenieur",Riverty Group GmbH,Dortmund,Senior,,
(Senior) Commercial Data Analyst (m/w/d) - Vollzeit oder Teilzeit (ab 30 Wochenstunden),Gerolsteiner Brunnen & Co. KG,Gerolstein,Senior,,
Business Analyst:in Agrarförderung (w/m/d) Data Analyst:in Agrarförderung (w/m/d),IBYKUS AG für Informationstechnologie,Daberstedt,Middle or undefined,,
Business Analyst:in Stammdatenmanagement (w/m/d) Data Analyst:in Stammdatenmanagement (w/m/d),IBYKUS AG für Informationstechnologie,Daberstedt,Middle or undefined,,
Business Analyst:in Financial (w/m/d) Data Analyst:in Financial (w/m/d),IBYKUS AG für Informationstechnologie,Daberstedt,Middle or undefined,,
"(Junior) Data Analyst Campaigning (w/m/d) - Business Analysis, Datenbankentwicklung/BI, Ingenieur",freenet,Hamburg,Junior,,
Data Analyst in Collaborative Research Project (Political Science) with China focus (m/f/d),Constructor University,Bremen,Middle or undefined,,
